"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,134,129775,0.001032556347524
2000,"FEMALE",4,308,318204,0.000967932521275
2000,"FEMALE",2,223,206896,0.001077836207563
2000,"FEMALE",3,260,265876,0.000977899471934
2000,"FEMALE",8,0,622,0
2000,"FEMALE",0,278,192189,0.00144649277534
2000,"FEMALE",10,0,2,0
2000,"FEMALE",1,342,244908,0.001396442745847
2000,"FEMALE",9,0,151,0
2000,"FEMALE",7,3,1633,0.001837109614206
2000,"FEMALE",5,292,297156,0.000982648844378
2000,"MALE",5,265,260556,0.001017055834446
2000,"MALE",10,0,2,0
2000,"MALE",2,193,196261,0.000983384370812
2000,"MALE",6,138,115705,0.001192688302147
2000,"MALE",4,240,271189,0.000884991647891
2000,"MALE",0,300,201986,0.001485251453071
2000,"MALE",3,202,236675,0.000853491074257
2000,"MALE",8,0,241,0
2000,"MALE",7,6,1613,0.003719776813391
2000,"MALE",1,336,257420,0.001305259886566
2000,"MALE",9,0,41,0
2001,"FEMALE",9,0,153,0
2001,"FEMALE",3,377,388427,0.000970581344757
2001,"FEMALE",2,312,337458,0.000924559500737
2001,"FEMALE",5,484,534668,0.000905234650287
2001,"FEMALE",10,0,3,0
2001,"FEMALE",0,357,288268,0.001238430904574
2001,"FEMALE",6,234,237772,0.000984136063119
2001,"FEMALE",4,517,515927,0.001002079751592
2001,"FEMALE",1,444,394663,0.001125010451955
2001,"FEMALE",8,0,624,0
2001,"FEMALE",7,3,1644,0.001824817518248
2001,"MALE",7,3,1657,0.00181050090525
2001,"MALE",6,191,214189,0.000891735803425
2001,"MALE",2,292,317974,0.000918314075993
2001,"MALE",9,0,29,0
2001,"MALE",3,275,340750,0.000807043286867
2001,"MALE",0,437,303310,0.001440770169133
2001,"MALE",5,467,472622,0.000988104658691
2001,"MALE",10,0,3,0
2001,"MALE",8,1,241,0.00414937759336
2001,"MALE",4,351,435375,0.000806201550387
2001,"MALE",1,462,412617,0.00111968241735
2002,"FEMALE",1,809,743748,0.001087734017436
2002,"FEMALE",5,897,913471,0.000981968776239
2002,"FEMALE",2,736,687506,0.001070536111684
2002,"FEMALE",7,4,1711,0.002337814143775
2002,"FEMALE",6,383,391641,0.000977936426472
2002,"FEMALE",0,763,593254,0.001286127021478
2002,"FEMALE",9,0,177,0
2002,"FEMALE",3,746,794373,0.000939105432838
2002,"FEMALE",4,967,953389,0.001014276439103
2002,"FEMALE",10,0,3,0
2002,"FEMALE",8,0,597,0
2002,"MALE",8,0,273,0
2002,"MALE",9,0,28,0
2002,"MALE",2,602,627072,0.000960017350479
2002,"MALE",1,889,774250,0.00114820794317
2002,"MALE",5,695,791334,0.000878263792532
2002,"MALE",0,913,621455,0.001469132921933
2002,"MALE",7,1,1776,0.000563063063063
2002,"MALE",6,360,355380,0.001013000168833
2002,"MALE",10,0,1,0
2002,"MALE",3,568,711490,0.000798324642651
2002,"MALE",4,675,811116,0.000832186764901
2003,"FEMALE",4,1384,1517659,0.000911930809226
2003,"FEMALE",7,1,1521,0.000657462195923
2003,"FEMALE",2,953,1072026,0.00088897097645
2003,"FEMALE",8,0,602,0
2003,"FEMALE",9,0,178,0
2003,"FEMALE",0,1025,935022,0.001096230890823
2003,"FEMALE",1,1148,1152451,0.000996137796747
2003,"FEMALE",5,1157,1367922,0.000845808459839
2003,"FEMALE",3,1058,1266151,0.00083560333641
2003,"FEMALE",6,499,575268,0.000867421792973
2003,"FEMALE",10,0,2,0
2003,"MALE",10,0,1,0
2003,"MALE",9,0,23,0
2003,"MALE",8,1,300,0.003333333333333
2003,"MALE",7,3,1586,0.001891551071878
2003,"MALE",4,994,1321902,0.000751946816027
2003,"MALE",1,1199,1202618,0.000996991563405
2003,"MALE",2,774,969251,0.000798554760325
2003,"MALE",0,1235,981283,0.001258556400141
2003,"MALE",6,490,524202,0.000934754159656
2003,"MALE",5,1062,1201508,0.000883889245847
2003,"MALE",3,814,1141950,0.000712815797539
2004,"FEMALE",3,1348,1529604,0.000881273846041
2004,"FEMALE",2,1223,1324628,0.000923278082601
2004,"FEMALE",4,1650,1846298,0.000893680218469
2004,"FEMALE",1,1436,1407775,0.001020049368684
2004,"FEMALE",5,1648,1745171,0.000944320069494
2004,"FEMALE",0,1264,1150044,0.001099088382705
2004,"FEMALE",6,643,723832,0.000888327678245
2004,"MALE",6,632,668948,0.000944767007301
2004,"MALE",4,1257,1622922,0.00077452890527
2004,"MALE",3,929,1382007,0.000672210777514
2004,"MALE",2,1027,1179096,0.000871006262424
2004,"MALE",0,1542,1203137,0.001281649554456
2004,"MALE",1,1515,1469856,0.001030713212722
2004,"MALE",5,1440,1526286,0.000943466689729
2005,"FEMALE",5,1786,1946500,0.0009175443103
2005,"FEMALE",3,1418,1711139,0.000828687792166
2005,"FEMALE",6,723,807134,0.00089576204199
2005,"FEMALE",4,1810,2035079,0.000889400362344
2005,"FEMALE",1,1514,1581940,0.00095705273272
2005,"FEMALE",2,1298,1500895,0.000864817325662
2005,"FEMALE",0,1331,1307852,0.001017699250373
2005,"MALE",0,1667,1365148,0.001221113022177
2005,"MALE",6,715,743412,0.00096178162311
2005,"MALE",5,1424,1706725,0.000834346482297
2005,"MALE",3,1048,1558014,0.000672651208525
2005,"MALE",2,1068,1342263,0.000795671191115
2005,"MALE",4,1406,1808406,0.000777480278211
2005,"MALE",1,1722,1649087,0.001044214162139
2006,"FEMALE",1,1733,1695416,0.001022168010682
2006,"FEMALE",5,1692,2009282,0.000842091851716
2006,"FEMALE",0,1516,1413504,0.001072511998551
2006,"FEMALE",6,758,835730,0.000906991492467
2006,"FEMALE",4,1751,2102622,0.000832769751291
2006,"FEMALE",3,1598,1808919,0.00088340052816
2006,"FEMALE",2,1361,1619918,0.00084016598371
2006,"MALE",2,1154,1484841,0.000777187591129
2006,"MALE",0,1720,1475973,0.001165332970183
2006,"MALE",1,1879,1769657,0.001061787679759
2006,"MALE",5,1493,1807649,0.000825934680903
2006,"MALE",3,1126,1677540,0.000671220954492
2006,"MALE",6,668,791930,0.000843508895988
2006,"MALE",4,1316,1918011,0.000686127451823
2007,"FEMALE",4,2116,2226070,0.000950554115548
2007,"FEMALE",1,1841,1816126,0.001013696186277
2007,"FEMALE",2,1785,1756855,0.001016020104106
2007,"FEMALE",0,1658,1512208,0.001096410017669
2007,"FEMALE",6,900,948894,0.000948472642887
2007,"FEMALE",5,2121,2169004,0.000977868182815
2007,"FEMALE",3,1881,1939810,0.00096968259778
2007,"MALE",3,1300,1776156,0.000731917691914
2007,"MALE",2,1446,1605084,0.00090088743019
2007,"MALE",4,1636,2014508,0.000812108961592
2007,"MALE",1,1959,1896156,0.001033142842677
2007,"MALE",5,1783,1919304,0.000928982589522
2007,"MALE",0,1947,1577801,0.001233995922172
2007,"MALE",6,879,870681,0.001009554590027
2008,"FEMALE",6,1187,1112381,0.001067080433772
2008,"FEMALE",4,2620,2583761,0.001014025678071
2008,"FEMALE",3,2457,2305092,0.001065901057311
2008,"FEMALE",2,2185,2105063,0.001037973685348
2008,"FEMALE",0,2138,1790685,0.001193956502679
2008,"FEMALE",1,2441,2125483,0.001148444847594
2008,"FEMALE",5,2696,2521961,0.00106900939388
2008,"MALE",5,2253,2254684,0.000999253110413
2008,"MALE",3,1795,2118704,0.000847216033952
2008,"MALE",6,1099,1037280,0.00105950177387
2008,"MALE",4,2047,2358005,0.000868106725812
2008,"MALE",1,2472,2217317,0.001114860888181
2008,"MALE",2,1867,1920716,0.000972033345898
2008,"MALE",0,2512,1873211,0.001341012838382
2009,"FEMALE",0,2502,2016442,0.001240799388229
2009,"FEMALE",6,1594,1341404,0.001188307176659
2009,"FEMALE",5,3635,2959011,0.001228450992578
2009,"FEMALE",3,3016,2610593,0.001155293069429
2009,"FEMALE",2,2848,2350457,0.001211679260671
2009,"FEMALE",4,3422,2942019,0.001163146804966
2009,"FEMALE",1,2934,2406544,0.001219175714219
2009,"MALE",1,3175,2511148,0.00126436195716
2009,"MALE",5,3007,2627924,0.001144249224863
2009,"MALE",0,3044,2110057,0.001442615057318
2009,"MALE",6,1541,1230681,0.001252152263665
2009,"MALE",4,2507,2666326,0.000940245116313
2009,"MALE",3,2112,2360540,0.000894710532335
2009,"MALE",2,2393,2115578,0.001131132957517
2010,"FEMALE",2,3004,2511644,0.001196029373589
2010,"FEMALE",0,2684,2136393,0.001256323157771
2010,"FEMALE",1,3181,2582847,0.001231586694837
2010,"FEMALE",5,3934,3240132,0.001214148065572
2010,"FEMALE",3,3201,2828683,0.001131622030464
2010,"FEMALE",6,1749,1466614,0.001192542823128
2010,"FEMALE",4,3663,3199926,0.00114471397151
2010,"MALE",4,2758,2898301,0.000951591984407
2010,"MALE",1,3377,2693570,0.001253726467104
2010,"MALE",2,2599,2286891,0.001136477427214
2010,"MALE",0,3280,2237226,0.001466101323692
2010,"MALE",6,1649,1333992,0.001236139347162
2010,"MALE",5,3355,2865884,0.001170668456922
2010,"MALE",3,2325,2548954,0.000912138861666
2011,"FEMALE",3,3657,3150586,0.001160736447124
2011,"FEMALE",2,3636,3032802,0.001198891322282
2011,"FEMALE",4,4194,3557422,0.001178943628279
2011,"FEMALE",1,3536,2861214,0.001235839052933
2011,"FEMALE",5,4649,3661199,0.001269802597455
2011,"FEMALE",0,2842,2361502,0.001203471350013
2011,"FEMALE",6,2133,1766626,0.001207386283231
2011,"MALE",6,2196,1565105,0.001403100750428
2011,"MALE",4,3103,3270449,0.000948799385038
2011,"MALE",3,2531,2881357,0.000878405556826
2011,"MALE",2,3399,2920182,0.001163968547165
2011,"MALE",0,3596,2477509,0.001451457895813
2011,"MALE",1,3804,2990265,0.00127212805554
2011,"MALE",5,3924,3268437,0.001200573852272
2012,"FEMALE",5,4264,3725346,0.001144591670142
2012,"FEMALE",3,3555,3231730,0.001100030014883
2012,"FEMALE",6,2093,1801577,0.001161759946979
2012,"FEMALE",4,3870,3564695,0.001085646878624
2012,"FEMALE",1,3455,2943334,0.001173838918722
2012,"FEMALE",2,3843,3254352,0.001180880248971
2012,"FEMALE",0,2846,2444623,0.001164187688653
2012,"MALE",0,3600,2565078,0.001403466093428
2012,"MALE",6,1907,1588619,0.001200413692647
2012,"MALE",5,3509,3342142,0.001049925466961
2012,"MALE",3,2567,2960777,0.000867002141667
2012,"MALE",2,3461,3160873,0.00109495066711
2012,"MALE",4,2771,3291526,0.000841858760951
2012,"MALE",1,3513,3068145,0.001144991517675
2013,"FEMALE",1,2810,2430664,0.001156062705499
2013,"FEMALE",5,3754,3188959,0.001177186661854
2013,"FEMALE",0,2315,1994359,0.001160773962962
2013,"FEMALE",6,1795,1577600,0.001137804259634
2013,"FEMALE",4,3081,2960726,0.001040623144458
2013,"FEMALE",3,2994,2712370,0.001103831704376
