"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,57,72900,0.000781893004115
2000,"FEMALE",4,2,105,0.019047619047619
2000,"FEMALE",5,2,397,0.005037783375314
2000,"FEMALE",3,0,18,0
2000,"FEMALE",8,116,60871,0.001905669366364
2000,"FEMALE",10,0,153,0
2000,"FEMALE",9,24,11326,0.002119018188239
2000,"FEMALE",7,159,127123,0.001250757140721
2000,"MALE",7,153,107537,0.001422766117708
2000,"MALE",8,71,40374,0.001758557487491
2000,"MALE",4,0,119,0
2000,"MALE",6,58,65341,0.00088765093892
2000,"MALE",3,0,9,0
2000,"MALE",5,2,664,0.003012048192771
2000,"MALE",9,3,4867,0.00061639613725
2000,"MALE",10,0,45,0
2001,"FEMALE",10,0,591,0
2001,"FEMALE",3,0,54,0
2001,"FEMALE",8,212,136597,0.001552010659092
2001,"FEMALE",2,0,9,0
2001,"FEMALE",7,296,255993,0.001156281617075
2001,"FEMALE",6,140,140579,0.0009958813194
2001,"FEMALE",0,0,1,0
2001,"FEMALE",4,5,999,0.005005005005005
2001,"FEMALE",9,35,24446,0.001431727071913
2001,"FEMALE",5,12,3062,0.003919007184846
2001,"MALE",5,20,6156,0.003248862897985
2001,"MALE",0,0,1,0
2001,"MALE",8,168,88993,0.001887788927218
2001,"MALE",10,0,205,0
2001,"MALE",3,1,46,0.021739130434782
2001,"MALE",6,136,129257,0.001052167387452
2001,"MALE",2,0,6,0
2001,"MALE",7,319,212760,0.001499341981575
2001,"MALE",9,14,10744,0.001303052866716
2001,"MALE",1,0,1,0
2001,"MALE",4,8,1386,0.005772005772005
2002,"FEMALE",4,7,926,0.00755939524838
2002,"FEMALE",2,0,3,0
2002,"FEMALE",8,281,184726,0.001521171897837
2002,"FEMALE",5,9,3122,0.002882767456758
2002,"FEMALE",6,145,179418,0.000808168634139
2002,"FEMALE",10,2,1074,0.001862197392923
2002,"FEMALE",3,1,44,0.022727272727272
2002,"FEMALE",1,0,1,0
2002,"FEMALE",7,434,329453,0.001317335097874
2002,"FEMALE",9,54,33991,0.001588655820658
2002,"MALE",9,35,14963,0.002339103121031
2002,"MALE",10,0,370,0
2002,"MALE",2,0,5,0
2002,"MALE",4,9,1325,0.006792452830188
2002,"MALE",6,164,163701,0.001001826500754
2002,"MALE",8,237,119507,0.001983147430694
2002,"MALE",5,24,5916,0.004056795131845
2002,"MALE",7,422,272548,0.001548351116133
2002,"MALE",3,1,35,0.028571428571428
2003,"FEMALE",3,1,46,0.021739130434782
2003,"FEMALE",8,487,319931,0.00152220322507
2003,"FEMALE",10,4,2093,0.001911132345914
2003,"FEMALE",9,110,61602,0.00178565630986
2003,"FEMALE",6,275,279096,0.000985324046206
2003,"FEMALE",2,0,3,0
2003,"FEMALE",4,4,1030,0.003883495145631
2003,"FEMALE",7,724,553198,0.001308753827743
2003,"FEMALE",5,14,3702,0.003781739600216
2003,"FEMALE",1,0,2,0
2003,"MALE",1,0,5,0
2003,"MALE",2,1,4,0.25
2003,"MALE",8,377,207192,0.001819568323101
2003,"MALE",3,1,37,0.027027027027027
2003,"MALE",0,0,1,0
2003,"MALE",6,241,246474,0.000977790760891
2003,"MALE",10,1,633,0.001579778830963
2003,"MALE",9,34,26450,0.001285444234404
2003,"MALE",5,23,6515,0.00353031465848
2003,"MALE",4,10,1291,0.007745933384972
2003,"MALE",7,626,450603,0.001389249516758
2004,"FEMALE",7,837,668245,0.001252534624277
2004,"FEMALE",10,3,2629,0.00114111829593
2004,"FEMALE",8,619,388295,0.001594148778634
2004,"FEMALE",1,0,2,0
2004,"FEMALE",2,0,3,0
