"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,0,129775,0
2000,"FEMALE",4,0,318204,0
2000,"FEMALE",2,132,206896,0.000638001701337
2000,"FEMALE",3,0,265876,0
2000,"FEMALE",8,0,622,0
2000,"FEMALE",0,16,192189,8.3251382753e-05
2000,"FEMALE",10,0,2,0
2000,"FEMALE",1,97,244908,0.000396067094582
2000,"FEMALE",9,0,151,0
2000,"FEMALE",7,0,1633,0
2000,"FEMALE",5,0,297156,0
2000,"MALE",5,0,260556,0
2000,"MALE",10,0,2,0
2000,"MALE",2,71,196261,0.000361763162319
2000,"MALE",6,0,115705,0
2000,"MALE",4,0,271189,0
2000,"MALE",0,15,201986,7.4262572653e-05
2000,"MALE",3,0,236675,0
2000,"MALE",8,0,241,0
2000,"MALE",7,0,1613,0
2000,"MALE",1,49,257420,0.000190350400124
2000,"MALE",9,0,41,0
2001,"FEMALE",9,0,153,0
2001,"FEMALE",3,0,388427,0
2001,"FEMALE",2,254,337458,0.000752686260216
2001,"FEMALE",5,0,534668,0
2001,"FEMALE",10,0,3,0
2001,"FEMALE",0,19,288268,6.5910888478e-05
2001,"FEMALE",6,0,237772,0
2001,"FEMALE",4,0,515927,0
2001,"FEMALE",1,177,394663,0.000448483896387
2001,"FEMALE",8,0,624,0
2001,"FEMALE",7,0,1644,0
2001,"MALE",7,0,1657,0
2001,"MALE",6,0,214189,0
2001,"MALE",2,167,317974,0.000525200173599
2001,"MALE",9,0,29,0
2001,"MALE",3,0,340750,0
2001,"MALE",0,26,303310,8.5720879628e-05
2001,"MALE",5,0,472622,0
2001,"MALE",10,0,3,0
2001,"MALE",8,0,241,0
2001,"MALE",4,0,435375,0
2001,"MALE",1,118,412617,0.000285979491877
2002,"FEMALE",1,343,743748,0.000461177710729
2002,"FEMALE",5,0,913471,0
2002,"FEMALE",2,589,687506,0.000856719795899
2002,"FEMALE",7,0,1711,0
2002,"FEMALE",6,0,391641,0
2002,"FEMALE",0,36,593254,6.0682271e-05
2002,"FEMALE",9,0,177,0
2002,"FEMALE",3,0,794373,0
2002,"FEMALE",4,0,953389,0
2002,"FEMALE",10,0,3,0
2002,"FEMALE",8,0,597,0
2002,"MALE",8,0,273,0
2002,"MALE",9,0,28,0
2002,"MALE",2,336,627072,0.000535823637477
2002,"MALE",1,226,774250,0.000291895382628
2002,"MALE",5,0,791334,0
2002,"MALE",0,36,621455,5.7928570853e-05
2002,"MALE",7,0,1776,0
2002,"MALE",6,0,355380,0
2002,"MALE",10,0,1,0
2002,"MALE",3,0,711490,0
2002,"MALE",4,0,811116,0
2003,"FEMALE",4,0,1517659,0
2003,"FEMALE",7,0,1521,0
2003,"FEMALE",2,994,1072026,0.000927216317514
2003,"FEMALE",8,0,602,0
2003,"FEMALE",9,0,178,0
2003,"FEMALE",0,74,935022,7.9142522849e-05
2003,"FEMALE",1,531,1152451,0.000460757116788
2003,"FEMALE",5,0,1367922,0
2003,"FEMALE",3,0,1266151,0
2003,"FEMALE",6,0,575268,0
2003,"FEMALE",10,0,2,0
2003,"MALE",10,0,1,0
2003,"MALE",9,0,23,0
2003,"MALE",8,0,300,0
2003,"MALE",7,0,1586,0
2003,"MALE",4,0,1321902,0
2003,"MALE",1,384,1202618,0.000319303386445
2003,"MALE",2,486,969251,0.00050141810532
2003,"MALE",0,67,981283,6.827795855e-05
2003,"MALE",6,0,524202,0
2003,"MALE",5,0,1201508,0
2003,"MALE",3,0,1141950,0
