"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,186,418203,0.00044476008063
2000,"FEMALE",4,412,1158507,0.000355630134302
2000,"FEMALE",2,326,980195,0.000332586883222
2000,"FEMALE",3,406,1220943,0.000332529856021
2000,"FEMALE",0,306,909676,0.000336383503577
2000,"FEMALE",1,332,917722,0.000361765327626
2000,"FEMALE",7,215,617931,0.000347935287273
2000,"FEMALE",5,274,758014,0.000361470896315
2000,"MALE",5,262,718554,0.000364621169738
2000,"MALE",0,423,955957,0.000442488521973
2000,"MALE",4,348,1095264,0.000317731615391
2000,"MALE",6,165,397610,0.000414979502527
2000,"MALE",3,294,1174440,0.000250332073158
2000,"MALE",2,229,894173,0.000256102566281
2000,"MALE",7,197,437298,0.000450493713668
2000,"MALE",1,346,954567,0.000362468009055
2001,"FEMALE",1,782,1091073,0.000716725645305
2001,"FEMALE",3,1001,1452282,0.000689260074833
2001,"FEMALE",0,814,1070605,0.000760317764254
2001,"FEMALE",5,726,919649,0.000789431620107
2001,"FEMALE",6,345,435949,0.000791376972994
2001,"FEMALE",4,1022,1390737,0.000734862163011
2001,"FEMALE",7,504,496271,0.001015574152025
2001,"FEMALE",2,855,1175947,0.000727073584098
2001,"MALE",2,575,1075418,0.000534675819076
2001,"MALE",6,351,427545,0.000820966214082
2001,"MALE",3,739,1404795,0.000526055403101
2001,"MALE",1,843,1137669,0.000740988811332
2001,"MALE",5,623,875861,0.00071130008072
2001,"MALE",0,913,1124711,0.00081176408873
2001,"MALE",7,371,367892,0.001008448131516
2001,"MALE",4,763,1329518,0.000573892192508
2002,"FEMALE",4,1112,1440235,0.000772096220408
2002,"FEMALE",5,750,976096,0.000768367045864
2002,"FEMALE",6,302,447330,0.000675116804149
2002,"FEMALE",2,856,1166317,0.000733934256295
2002,"FEMALE",1,864,1100407,0.000785164034761
2002,"FEMALE",3,1065,1444712,0.000737171145529
2002,"FEMALE",7,365,550100,0.000663515724413
2002,"FEMALE",0,921,1055522,0.000872554053823
2002,"MALE",0,1030,1108572,0.00092912323241
2002,"MALE",1,917,1149919,0.000797447472387
2002,"MALE",5,637,932630,0.000683014700363
2002,"MALE",4,874,1387327,0.000629988459822
2002,"MALE",2,680,1067264,0.000637143199808
2002,"MALE",6,367,446804,0.0008213892445
2002,"MALE",7,321,402748,0.000797024442082
2002,"MALE",3,812,1403581,0.000578520227902
2003,"FEMALE",3,1001,1458432,0.000686353563278
2003,"FEMALE",2,811,1183821,0.000685069786732
2003,"FEMALE",1,766,1113177,0.00068812057741
2003,"FEMALE",0,803,1052527,0.000762925796677
2003,"FEMALE",4,1047,1495704,0.000700004813786
2003,"FEMALE",5,756,1037735,0.000728509686962
2003,"FEMALE",7,327,500372,0.000653513785743
2003,"FEMALE",6,350,459499,0.000761699154949
2003,"MALE",6,376,461230,0.000815211499685
2003,"MALE",4,818,1442771,0.000566964542536
2003,"MALE",2,627,1080715,0.00058017146056
2003,"MALE",3,760,1409496,0.000539199827456
2003,"MALE",0,1006,1104738,0.000910623152276
