"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2006,"FEMALE",6,3773,173127,0.021793250041876
2006,"FEMALE",4,3434,265967,0.012911376223366
2006,"FEMALE",2,1935,665814,0.002906217051609
2006,"FEMALE",3,2353,395152,0.005954670607766
2006,"FEMALE",8,4223,163708,0.025795929337601
2006,"FEMALE",0,177,1134149,0.000156064150301
2006,"FEMALE",1,453,851593,0.000531944250363
2006,"FEMALE",9,628,21657,0.028997552754305
2006,"FEMALE",7,3540,169314,0.020907898933342
2006,"FEMALE",5,3987,193746,0.020578489362361
2006,"MALE",5,2733,143363,0.019063496160097
2006,"MALE",0,234,1191067,0.00019646249959
2006,"MALE",2,563,149694,0.003761005785135
2006,"MALE",6,2188,107691,0.020317389568301
2006,"MALE",4,2250,163761,0.013739535054133
2006,"MALE",8,879,43504,0.020205038617138
2006,"MALE",3,1048,130200,0.008049155145929
2006,"MALE",7,1404,79477,0.01766548812864
2006,"MALE",1,243,828378,0.0002933443428
2006,"MALE",9,89,4338,0.020516366989396
2007,"FEMALE",9,189,9892,0.019106348564496
2007,"FEMALE",8,2232,131886,0.016923706837723
2007,"FEMALE",2,1107,453074,0.002443309481453
2007,"FEMALE",5,2460,143636,0.017126625637026
2007,"FEMALE",0,135,739465,0.000182564421575
2007,"FEMALE",4,1911,177092,0.010791001287466
2007,"FEMALE",6,2192,128833,0.017014274293077
2007,"FEMALE",1,253,548681,0.000461105815583
2007,"FEMALE",3,1372,257132,0.00533578084408
2007,"FEMALE",7,1759,124943,0.01407841975941
2007,"MALE",7,806,57145,0.014104471082334
2007,"MALE",4,1343,112205,0.01196916358451
2007,"MALE",2,398,97432,0.004084900238114
2007,"MALE",9,28,2019,0.013868251609707
2007,"MALE",8,520,34215,0.015198012567587
2007,"MALE",0,141,779610,0.000180859660599
2007,"MALE",5,1719,105431,0.01630450247081
2007,"MALE",3,661,86183,0.00766972604806
2007,"MALE",6,1301,75816,0.01715996623404
2007,"MALE",1,169,530323,0.000318673713944
2008,"FEMALE",1,284,686418,0.000413742063873
2008,"FEMALE",0,176,975100,0.000180494308276
2008,"FEMALE",2,1266,488866,0.002589666698031
2008,"FEMALE",7,1758,126162,0.013934465211394
2008,"FEMALE",4,1989,187908,0.010584967111565
2008,"FEMALE",8,2126,132279,0.016072090052086
2008,"FEMALE",9,209,10583,0.019748653500897
2008,"FEMALE",6,2112,136841,0.015433970812841
2008,"FEMALE",5,2561,156133,0.016402682328527
2008,"FEMALE",3,1466,282238,0.005194197804689
2008,"MALE",3,646,93721,0.006892798839107
2008,"MALE",8,488,35271,0.013835729069206
2008,"MALE",2,395,107974,0.003658288106395
2008,"MALE",1,219,671361,0.000326203041284
2008,"MALE",0,187,1023497,0.000182706935144
2008,"MALE",4,1381,117712,0.011732023922794
2008,"MALE",7,817,58610,0.013939600750725
2008,"MALE",5,1826,115991,0.015742600719021
2008,"MALE",9,37,2160,0.017129629629629
2008,"MALE",6,1313,80771,0.016255834396008
2009,"FEMALE",6,2613,151839,0.01720901744611
2009,"FEMALE",4,2387,212875,0.011213153258954
2009,"FEMALE",2,1587,567450,0.002796722178165
2009,"FEMALE",3,1791,333197,0.005375198456168
2009,"FEMALE",8,2479,141389,0.017533188579026
2009,"FEMALE",0,175,1149899,0.000152187279056
2009,"FEMALE",1,431,805886,0.000534815097917
2009,"FEMALE",9,235,10922,0.021516205823109
2009,"FEMALE",7,2051,133701,0.015340199400154
2009,"FEMALE",5,2904,178748,0.016246335623335
2009,"MALE",5,2384,137765,0.017304830689943
2009,"MALE",0,241,1206413,0.000199765751861
2009,"MALE",2,504,132368,0.003807566783512
2009,"MALE",6,1626,91800,0.017712418300653
2009,"MALE",4,1663,134989,0.012319522331449
2009,"MALE",8,620,38488,0.016108917065059
2009,"MALE",3,833,114039,0.007304518629591
2009,"MALE",7,920,63618,0.014461315979754
2009,"MALE",1,223,796082,0.00028012189699
2009,"MALE",9,45,2331,0.019305019305019
2010,"FEMALE",9,280,14733,0.019004954863232
2010,"FEMALE",8,2334,144162,0.016190119448953
2010,"FEMALE",2,1303,535095,0.00243508162102
2010,"FEMALE",5,2585,179415,0.014407936906055
2010,"FEMALE",0,146,1137746,0.000128323896546
2010,"FEMALE",4,1952,202546,0.00963731695516
2010,"FEMALE",6,2326,158209,0.014702071310734
2010,"FEMALE",1,343,818100,0.000419264148637
2010,"FEMALE",3,1642,324450,0.005060872245338
2010,"FEMALE",7,1941,140317,0.013832963931669
2010,"MALE",7,956,68060,0.014046429620922
2010,"MALE",4,1403,127363,0.011015758108712
2010,"MALE",2,371,122930,0.003017977710892
2010,"MALE",9,53,3078,0.017218973359324
2010,"MALE",8,611,40402,0.015123013712192
2010,"MALE",0,218,1190834,0.00018306497799
2010,"MALE",5,2121,140170,0.015131625882856
2010,"MALE",3,687,111367,0.006168793269101
2010,"MALE",6,1549,97119,0.015949505246141
2010,"MALE",1,212,815862,0.000259847866428
2011,"FEMALE",1,326,761156,0.000428295907803
2011,"FEMALE",0,155,1042946,0.000148617473963
2011,"FEMALE",2,1200,503218,0.002384652377299
2011,"FEMALE",7,1661,130991,0.01268026047591
2011,"FEMALE",4,1669,183543,0.009093237007131
2011,"FEMALE",8,2043,132544,0.015413749396426
2011,"FEMALE",9,198,12730,0.015553809897879
2011,"FEMALE",6,2088,153166,0.013632268257968
2011,"FEMALE",5,2401,169517,0.01416377118519
2011,"FEMALE",3,1485,312929,0.004745485397646
2011,"MALE",3,651,98470,0.006611150604244
2011,"MALE",8,536,36402,0.014724465688698
2011,"MALE",2,359,99623,0.0036035855174
2011,"MALE",1,229,760356,0.000301174712897
2011,"MALE",0,179,1091369,0.000164014187685
2011,"MALE",4,1287,109541,0.011749025479044
2011,"MALE",7,801,63639,0.012586621411398
2011,"MALE",5,1988,133651,0.014874561357565
2011,"MALE",9,41,2471,0.016592472683124
2011,"MALE",6,1417,95408,0.014852004024819
2012,"FEMALE",6,3149,220350,0.014290900839573
2012,"FEMALE",4,2669,280901,0.009501568168144
2012,"FEMALE",2,1614,710969,0.002270141173525
2012,"FEMALE",3,2157,462345,0.004665347305583
2012,"FEMALE",8,3454,179552,0.019236767064694
2012,"FEMALE",0,231,1354310,0.00017056656157
2012,"FEMALE",1,419,1008774,0.000415355669357
2012,"FEMALE",9,312,14397,0.021671181496145
2012,"FEMALE",7,2489,178966,0.013907669613222
2012,"FEMALE",5,3488,258035,0.013517546069331
2012,"MALE",5,3405,207580,0.016403314384815
2012,"MALE",0,311,1418439,0.000219255110723
2012,"MALE",2,519,176693,0.002937298025388
2012,"MALE",6,2317,142481,0.016261817365122
2012,"MALE",4,1956,170410,0.011478199636171
2012,"MALE",8,864,49097,0.017597816567203
2012,"MALE",3,1026,163230,0.006285609263003
2012,"MALE",7,1301,88174,0.014754916415269
2012,"MALE",1,306,1011907,0.000302399331163
2012,"MALE",9,54,2871,0.018808777429467
2013,"FEMALE",9,265,14012,0.018912360833571
2013,"FEMALE",8,2917,176382,0.016537968726967
2013,"FEMALE",2,1603,722363,0.002219105906587
2013,"FEMALE",5,3501,272074,0.012867822724699
2013,"FEMALE",0,267,1391382,0.00019189553983
2013,"FEMALE",4,2730,287341,0.009500906588339
2013,"FEMALE",6,3020,230387,0.01310837851094
2013,"FEMALE",1,375,1049964,0.00035715510246
2013,"FEMALE",3,2203,484506,0.004546899316004
2013,"FEMALE",7,2315,182308,0.012698290804572
2013,"MALE",7,1181,91479,0.012910066791285
2013,"MALE",4,1723,171865,0.010025310563523
2013,"MALE",2,488,184055,0.002651381380565
2013,"MALE",9,53,2850,0.01859649122807
2013,"MALE",8,714,49415,0.014449053930992
2013,"MALE",0,309,1455306,0.000212326479791
2013,"MALE",5,3131,219599,0.014257806274163
2013,"MALE",3,964,171922,0.005607193960051
2013,"MALE",6,2201,151528,0.014525368248772
2013,"MALE",1,267,1060828,0.000251690189172
2014,"FEMALE",1,611,1370344,0.000445873444916
2014,"FEMALE",0,320,1759509,0.000181868919113
2014,"FEMALE",2,3012,1022044,0.002947035548371
2014,"FEMALE",7,3873,235173,0.016468727277366
2014,"FEMALE",4,5255,479557,0.010958030015201
2014,"FEMALE",8,4413,225415,0.019577224230863
2014,"FEMALE",9,497,21360,0.023267790262172
2014,"FEMALE",6,5881,343222,0.017134682508696
2014,"FEMALE",5,7075,456690,0.015491909172524
2014,"FEMALE",3,4421,762973,0.005794438335301
2014,"MALE",3,2292,351090,0.006528240622062
2014,"MALE",8,1086,64889,0.016736272711861
2014,"MALE",2,1159,374140,0.003097770887902
2014,"MALE",1,445,1394988,0.000318999159849
2014,"MALE",0,440,1841149,0.000238981201412
2014,"MALE",4,3885,317457,0.012237877885823
2014,"MALE",7,1917,118951,0.016115879647922
2014,"MALE",5,6573,378040,0.017387048989524
2014,"MALE",9,88,4436,0.019837691614066
2014,"MALE",6,4335,234853,0.018458354800662
2015,"FEMALE",6,3748,384738,0.009741694347841
2015,"FEMALE",4,3525,550638,0.006401664977716
2015,"FEMALE",2,2028,1165728,0.001739685415465
2015,"FEMALE",3,3016,895124,0.003369365585103
2015,"FEMALE",8,2073,168853,0.012276950957341
2015,"FEMALE",0,248,1852405,0.000133880010041
2015,"FEMALE",1,383,1532181,0.000249970466935
2015,"FEMALE",9,918,73982,0.012408423670622
2015,"FEMALE",7,2533,240410,0.010536167380724
2015,"FEMALE",5,4601,514863,0.008936357827227
2015,"MALE",5,4297,434466,0.009890302118002
2015,"MALE",3,1576,412187,0.003823507291593
2015,"MALE",4,2487,360478,0.00689917276505
2015,"MALE",6,3029,274838,0.01102103784775
2015,"MALE",9,149,13013,0.011450088373165
2015,"MALE",1,288,1593536,0.000180730149805
2015,"MALE",8,668,57805,0.011556093763515
2015,"MALE",2,764,462349,0.00165243138841
2015,"MALE",7,1305,123825,0.01053906723198
2015,"MALE",0,316,1956050,0.000161550062626
